cn=Jeweled Flagon,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-projector-jeweledflagon@lhm.klab.cc	Jeweled Flagon
cn=Raerek's Inscribed Amulet of Talos,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-car-raereksinscribedamuletoftalos@lhm.klab.cc	Raerek's Inscribed Amulet of Talos
cn=Klimmek's Supplies,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-confroom-klimmekssupplies@lhm.klab.cc	Klimmek's Supplies
cn=The Forgemaster's Fingers,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-car-theforgemastersfingers@lhm.klab.cc	The Forgemaster's Fingers
cn=Ogmund's Amulet of Talos,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-projector-ogmundsamuletoftalos@lhm.klab.cc	Ogmund's Amulet of Talos
cn=Steel Sword,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-confroom-steelsword@lhm.klab.cc	Steel Sword
cn=Left Eye of the Falmer,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-car-lefteyeofthefalmer@lhm.klab.cc	Left Eye of the Falmer
cn=Mammoth Tusk Powder,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-car-mammothtuskpowder@lhm.klab.cc	Mammoth Tusk Powder
cn=Dwemer Puzzle Cube,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-projector-dwemerpuzzlecube@lhm.klab.cc	Dwemer Puzzle Cube
cn=Unmelting Snow,ou=Resources,dc=lhm,dc=klab,dc=cc	resource-confroom-unmeltingsnow@lhm.klab.cc	Unmelting Snow
